,Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1431872,,,,,,,,1,04/01/2022,Vente,"192452,83",70.0,,RUE,2935,DUPATY,33300.0,BORDEAUX,33,63,,RS,125,,120,,,,,,,,,,1,2.0,Appartement,,45.0,2.0,,,
1431876,,,,,,,,1,24/01/2022,Vente,"330000,00",36.0,,CITE,1570,DU CARDINAL LAVIGERIE,33000.0,BORDEAUX,33,63,,IS,145,,,,,,,,,,,,0,1.0,Maison,,55.0,3.0,S,,139.0
1431887,,,,,,,,1,19/01/2022,Vente,"162783,00",163.0,,CRS,8705,DE LA SOMME,33800.0,BORDEAUX,33,63,,ED,100,,13,"28,82",,,,,,,,,1,2.0,Appartement,,35.0,2.0,,,
1431891,,,,,,,,1,05/01/2022,Vente,"410000,00",66.0,,RUE,0380,D ARMAGNAC,33800.0,BORDEAUX,33,63,,BW,274,,306,,,,,,,,,,1,2.0,Appartement,,100.0,3.0,,,
1431925,,,,,,,,1,04/01/2022,Vente,"740000,00",49.0,,RUE,7290,PIERRE DUHEM,33000.0,BORDEAUX,33,63,,EA,7,,,,,,,,,,,,0,1.0,Maison,,150.0,7.0,S,,168.0
1431929,,,,,,,,1,19/01/2022,Vente,"255000,00",1.0,,RUE,9005,DE LA TOUR DU PIN,33000.0,BORDEAUX,33,63,,DO,109,,9,,,,,,,,,,1,2.0,Appartement,,54.0,3.0,,,
1431935,,,,,,,,1,17/01/2022,Vente,"556000,00",52.0,,RUE,6875,DU PALAIS GALLIEN,33000.0,BORDEAUX,33,63,,KW,4,,11,,17,"91,60",18,,,,,,3,2.0,Appartement,,82.0,3.0,,,
1431942,,,,,,,,1,14/01/2022,Vente,"158750,00",34.0,,PAS,4405,HERMITTE,33000.0,BORDEAUX,33,63,,IY,87,,21,"17,03",,,,,,,,,1,2.0,Appartement,,18.0,1.0,,,
1431943,,,,,,,,1,14/01/2022,Vente,"158750,00",34.0,,PAS,4405,HERMITTE,33000.0,BORDEAUX,33,63,,IY,87,,30,"19,41",,,,,,,,,1,2.0,Appartement,,20.0,1.0,,,
1431945,,,,,,,,1,20/01/2022,Vente,"1300000,00",30.0,,RUE,2710,DOCTEUR CH NANCEL PENARD,33000.0,BORDEAUX,33,63,,KD,138,,,,,,,,,,,,0,2.0,Appartement,,70.0,3.0,S,,264.0
